person,province,party,age,age_range,gender
SHANE HANSRAJ,National,MINORITY FRONT,42,39 - 59,Male
DAVANAND SINGH,National,MINORITY FRONT,54,39 - 59,Male
SHRITHA BHOOLA,National,MINORITY FRONT,46,39 - 59,Female
PATRICIA KHOMO,National,MINORITY FRONT,33,less than 39,Female
ANANDAN NAIDOO,National,MINORITY FRONT,58,39 - 59,Male
SOONILALL KALICHARAN,National,MINORITY FRONT,43,39 - 59,Male
VANESHREE GOVENDER,National,MINORITY FRONT,28,less than 39,Female
NUNKUMAR RAJARAM,National,MINORITY FRONT,73,60 - 79,Male
MADHANLALL DASARATH,National,MINORITY FRONT,53,39 - 59,Male
JACOBUS TAPEDI MASEKA,National,MOVEMENT DEMOCRATIC PARTY,66,60 - 79,Male
RONALD RAMAJA MADIBA,National,MOVEMENT DEMOCRATIC PARTY,32,less than 39,Male
ASSAH MBATHA,National,NATIONAL DEMOCRATIC CONVENTION,58,39 - 59,Male
VUSI PETROS NSIBANDE,National,NATIONAL DEMOCRATIC CONVENTION,36,less than 39,Male
MALUSI ISAAC KEKANA,National,NEW VISION PARTY,55,39 - 59,Male
MADIMETJA JOSEPH LEFAKGOMO,National,NEW VISION PARTY,46,39 - 59,Male
VUYANI ELLIOT MZAZA,National,NEW VISION PARTY,41,39 - 59,Male
METSE ALPHEUS MAUPI,National,NEW VISION PARTY,43,39 - 59,Male
KWEZI MATIKINCA,National,NEW VISION PARTY,41,39 - 59,Male
MAEPA DAPHNEY MODIKOA,National,NEW VISION PARTY,49,39 - 59,Female
NOMTWABELA CELIA NCUBUKA,National,NEW VISION PARTY,61,60 - 79,Female
MALESELA MORRIS MOKOU,National,NEW VISION PARTY,35,less than 39,Male
MOGAPI JERRY MNISI,National,NEW VISION PARTY,37,less than 39,Male
BAHLAKOTJE SELINA PHOKANE,National,NEW VISION PARTY,49,39 - 59,Female
MATLABANE SAMSON MAKWANE,National,NEW VISION PARTY,42,39 - 59,Male
NKGAPE DORCUS RATSOMA,National,NEW VISION PARTY,43,39 - 59,Female
THOKO SEKE MALAPANE,National,NEW VISION PARTY,40,39 - 59,Female
MODJADJI MELIDAH LETSOALO,National,NEW VISION PARTY,37,less than 39,Female
MOKGADI ROSINAH MMOLAI,National,NEW VISION PARTY,40,39 - 59,Female
GWENDOLINE NGOAKWANA MOJODO,National,NEW VISION PARTY,30,less than 39,Female
MAHLATSI CLEMENT SEKUBA,National,NEW VISION PARTY,40,39 - 59,Male
MMAKWENA LISBETH SEEMA,National,NEW VISION PARTY,37,less than 39,Female
PHEAHE NELSON SETJIE,National,NEW VISION PARTY,47,39 - 59,Male
KHOMOTSO JOSEPHINA MARIBENG,National,NEW VISION PARTY,41,39 - 59,Female
MAITE GLADYS MANOKWANA,National,NEW VISION PARTY,24,less than 39,Female
TLAKALE GLORIA SEKHUKHUNE,National,NEW VISION PARTY,37,less than 39,Female
AGOS MMUSHI MATHIBELA,National,NEW VISION PARTY,39,39 - 59,Male
LIPIS MOIMA,National,NEW VISION PARTY,38,less than 39,Male
MORWANGOATO HARRY MAKOLA,National,NEW VISION PARTY,33,less than 39,Male
MASHILWANE ALPHEUS MAISELA,National,NEW VISION PARTY,54,39 - 59,Male
MASHUDU SYLVIA MABADAHANI,National,NEW VISION PARTY,36,less than 39,Female
MBHAZIMA ELIAS CHAVALALA,National,NEW VISION PARTY,49,39 - 59,Male
NKHENSANI SARAH NKANYANI,National,NEW VISION PARTY,43,39 - 59,Female
MAPHUTI DOREEN GATJANE,National,NEW VISION PARTY,28,less than 39,Female
MATLOU THOMAS MOLEBO,National,NEW VISION PARTY,35,less than 39,Male
LETLAPA MOROATSHOGE MPHAHLELE,National,PAN AFRICANIST CONGRESS OF AZANIA,49,39 - 59,Male
WATERS TOBOTI,National,PAN AFRICANIST CONGRESS OF AZANIA,70,60 - 79,Male
NTSIRI SHADRACK POOE,National,PAN AFRICANIST CONGRESS OF AZANIA,34,less than 39,Male
TEBELLO JOSEPH MOFOKENG,National,PAN AFRICANIST CONGRESS OF AZANIA,44,39 - 59,Male
LEHUTO LUCAS MOTHIBE,National,PAN AFRICANIST CONGRESS OF AZANIA,39,39 - 59,Male
STEPHEN PLAATJIE,National,PAN AFRICANIST MOVEMENT,42,39 - 59,Male
OWEN KHATHAZILE,National,PAN AFRICANIST MOVEMENT,41,39 - 59,Male
ZIBA BONGINKOSI JIYANE,National,SOUTH AFRICAN DEMOCRATIC CONGRESS,51,39 - 59,Male
LUCAS MANYANE MANGOPE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,86,80 and over,Male
MASELELWANE MARGARET SEKETE-MATOKONYANE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,53,39 - 59,Female
JANTJIE OLEHILE MOENG,National,UNITED CHRISTIAN DEMOCRATIC PARTY,49,39 - 59,Male
MATHENTHANE CARL MOGOTSI,National,UNITED CHRISTIAN DEMOCRATIC PARTY,70,60 - 79,Male
MOKETE CROSS SHOPO,National,UNITED CHRISTIAN DEMOCRATIC PARTY,40,39 - 59,Male
KEAGILE ELIZABETH VANWIELIGH,National,UNITED CHRISTIAN DEMOCRATIC PARTY,66,60 - 79,Female
MOKONE LYDIA MOLEHE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,48,39 - 59,Female
ENNIA PITSO,National,UNITED CHRISTIAN DEMOCRATIC PARTY,49,39 - 59,Female
SUZAN NTOMBISIBILI DHLAMINI,National,UNITED CHRISTIAN DEMOCRATIC PARTY,30,less than 39,Female
NTUBOY SOLOMON MOTONA,National,UNITED CHRISTIAN DEMOCRATIC PARTY,61,60 - 79,Male
MARIA LYDIA LETSOALO,National,UNITED CHRISTIAN DEMOCRATIC PARTY,59,39 - 59,Female
DADDY RAMA RAMJEE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,52,39 - 59,Male
ROBERT KARABO SETLALEKGOSI,National,UNITED CHRISTIAN DEMOCRATIC PARTY,20,less than 39,Male
KAGISHO SAMUEL WILDEBEES,National,UNITED CHRISTIAN DEMOCRATIC PARTY,67,60 - 79,Male
SOLOMON TSHEGOFATSO PILANE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,24,less than 39,Male
EUGENE BOIPELO MONNAPULA,National,UNITED CHRISTIAN DEMOCRATIC PARTY,20,less than 39,Male
BANTUBONKE HARRINGTON HOLOMISA,National,UNITED DEMOCRATIC MOVEMENT,54,39 - 59,Male
CHRISTOBEL THANDIWE NONTENJA,National,UNITED DEMOCRATIC MOVEMENT,53,39 - 59,Female
FARRINGTON SINDEZAMA MDUNYELWA,National,UNITED DEMOCRATIC MOVEMENT,57,39 - 59,Male
BONGANI RICHARD DUDUMAYO,National,UNITED DEMOCRATIC MOVEMENT,49,39 - 59,Male
JOHN BUZANI MATETA,National,UNITED DEMOCRATIC MOVEMENT,43,39 - 59,Male
SIMANGA BENJAMIN BHALENG,National,UNITED DEMOCRATIC MOVEMENT,36,less than 39,Male
LENNOX MPUMELELO NDUDE,National,UNITED DEMOCRATIC MOVEMENT,57,39 - 59,Male
SHAWN JOSEPH VAN DER MERWE,National,UNITED DEMOCRATIC MOVEMENT,43,39 - 59,Male
TSIETSI DANIEL KHATI,National,UNITED DEMOCRATIC MOVEMENT,35,less than 39,Male
MZWANDILE MANJIYA,National,UNITED INDEPENDENT FRONT,37,less than 39,Male
MLIMI MONAKALI,National,UNITED INDEPENDENT FRONT,42,39 - 59,Male
MICHAEL KGOMOTSO NTHITE,National,UNITED INDEPENDENT FRONT,44,39 - 59,Male
PIETER WILLEM ADRIAAN MULDER,National,VRYHEIDSFRONT PLUS,58,39 - 59,Male
ABRAHAM PIETER OOSTHUIZEN,National,VRYHEIDSFRONT PLUS,59,39 - 59,Male
CORNELIUS PETRUS MULDER,National,VRYHEIDSFRONT PLUS,51,39 - 59,Male
PETRUS JOHANNES GROENEWALD,National,VRYHEIDSFRONT PLUS,54,39 - 59,Male
WILLIE DURAND SPIES,National,VRYHEIDSFRONT PLUS,40,39 - 59,Male
FREDERIK JACOBUS VAN HEERDEN,National,VRYHEIDSFRONT PLUS,72,60 - 79,Male
WERNER LUDOLF WEBER,National,VRYHEIDSFRONT PLUS,66,60 - 79,Male
CAREL WILLEM HENDRIK BOSHOFF,National,VRYHEIDSFRONT PLUS,46,39 - 59,Male
ANDREW FOURIE,National,VRYHEIDSFRONT PLUS,65,60 - 79,Male
ANDREW GERBER,National,VRYHEIDSFRONT PLUS,65,60 - 79,Male
EMMERENTIA FREDERIKA LANDMAN,National,VRYHEIDSFRONT PLUS,65,60 - 79,Female
FREDERIK JACOBUS MULDER,National,VRYHEIDSFRONT PLUS,45,39 - 59,Male
WILLEM JACOBUS SNYMAN,National,VRYHEIDSFRONT PLUS,77,60 - 79,Male
ELIZABETH SNYMAN-VAN DEVENTER,National,VRYHEIDSFRONT PLUS,42,39 - 59,Female
PIETER DANIEL UYS,National,VRYHEIDSFRONT PLUS,61,60 - 79,Male
CORNELIUS JACOBUS JANSEN VAN RENSBURG,National,VRYHEIDSFRONT PLUS,27,less than 39,Male
JOHANNES MARTHUNIS VAN NIEKERK,National,VRYHEIDSFRONT PLUS,28,less than 39,Male
PIETER MEY,National,VRYHEIDSFRONT PLUS,61,60 - 79,Male
ABRAM LE ROUX,National,VRYHEIDSFRONT PLUS,61,60 - 79,Male
CARL MAGNUS LÖNNGREN VENTER,National,VRYHEIDSFRONT PLUS,63,60 - 79,Male
ANTON DE WAAL ALBERTS,National,VRYHEIDSFRONT PLUS,39,39 - 59,Male
KRITZINGER MEY,National,VRYHEIDSFRONT PLUS,43,39 - 59,Male
RYKHAARD VAN JAARSVELD,National,VRYHEIDSFRONT PLUS,60,60 - 79,Male
MARTHA JOHANNA RICHTER,National,VRYHEIDSFRONT PLUS,69,60 - 79,Female
LINNETTE BADENHORST,National,VRYHEIDSFRONT PLUS,56,39 - 59,Female
DIRK WOUTER HOFFMAN,National,VRYHEIDSFRONT PLUS,68,60 - 79,Male
FERDINAND HARTZENBERG,National,VRYHEIDSFRONT PLUS,38,less than 39,Male
GERT STEFANUS FOUCHE,National,VRYHEIDSFRONT PLUS,61,60 - 79,Male
PETRUS JOHANNES BRINK,National,VRYHEIDSFRONT PLUS,64,60 - 79,Male
MATTHEUS JOHANNES WILLEMSE,National,VRYHEIDSFRONT PLUS,65,60 - 79,Male
JAMES DANIEL KEMP,National,VRYHEIDSFRONT PLUS,28,less than 39,Male
IGNATIUS MICHAEL GROENEWALD,National,VRYHEIDSFRONT PLUS,26,less than 39,Male
ELIZABETHA JOHANNA BISSCHOFF,National,VRYHEIDSFRONT PLUS,63,60 - 79,Female
ANJE STRIK VERWOERD,National,VRYHEIDSFRONT PLUS,37,less than 39,Female
PHILIPPUS ADRIAAN VAN STADEN,National,VRYHEIDSFRONT PLUS,34,less than 39,Male
MARIE BOSHOFF,National,VRYHEIDSFRONT PLUS,38,less than 39,Female
CHARLES DAWID HAWKINS,National,VRYHEIDSFRONT PLUS,62,60 - 79,Male
CORNELIUS PETRUS HATTINGH,National,VRYHEIDSFRONT PLUS,56,39 - 59,Male
JOHANNES GEYSBERTUS ROOS BORNMAN,National,VRYHEIDSFRONT PLUS,61,60 - 79,Male
HEDWIG GROENEWALD,National,VRYHEIDSFRONT PLUS,41,39 - 59,Female
WOUTER WYNAND WESSELS,National,VRYHEIDSFRONT PLUS,24,less than 39,Male
ANSIE DU PLOOY,National,VRYHEIDSFRONT PLUS,31,less than 39,Female
CLAUDINA VAN WYK,National,VRYHEIDSFRONT PLUS,41,39 - 59,Female
DOROTHEA MARIA BLIGNAUT,National,VRYHEIDSFRONT PLUS,57,39 - 59,Female
GERTRUIDA HILDAGAARD BOTHA,National,VRYHEIDSFRONT PLUS,53,39 - 59,Female
JOHAN VAN DRIMMELEN,National,VRYHEIDSFRONT PLUS,65,60 - 79,Male
JOHANN CHRISTIAAN BOSHOFF,National,VRYHEIDSFRONT PLUS,58,39 - 59,Male
ANNA DIANE CORNELIA LE ROUX,National,VRYHEIDSFRONT PLUS,54,39 - 59,Female
RONALD BRAND,National,VRYHEIDSFRONT PLUS,52,39 - 59,Male
CORNELIA NIKKE STRYDOM,National,VRYHEIDSFRONT PLUS,20,less than 39,Female
ZETWEE HATTINGH,National,VRYHEIDSFRONT PLUS,25,less than 39,Male
JOHANNES DANIËL POWELL,National,VRYHEIDSFRONT PLUS,58,39 - 59,Male
THEO DU TOIT,National,VRYHEIDSFRONT PLUS,53,39 - 59,Male
HEIDI GUDRUN WEBER,National,VRYHEIDSFRONT PLUS,48,39 - 59,Female
IGNATIUS JACOBUS FERREIRA,National,VRYHEIDSFRONT PLUS,79,60 - 79,Male
BERNHARDUS JACOBUS HANEKOM,National,VRYHEIDSFRONT PLUS,49,39 - 59,Male
CHRISTIAAN BENEKE,National,VRYHEIDSFRONT PLUS,38,less than 39,Male
HENDRIK GERHARDUS PISTORIUS,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
JOHANNES GERT HEYMAN,National,VRYHEIDSFRONT PLUS,67,60 - 79,Male
TAMARIN BREEDT,National,VRYHEIDSFRONT PLUS,23,less than 39,Female
URSULA COETZEE,National,VRYHEIDSFRONT PLUS,53,39 - 59,Female
PETRUS JOHANNES FOURIE,National,VRYHEIDSFRONT PLUS,69,60 - 79,Male
WYNAND FREDERIK VAN WYK,National,VRYHEIDSFRONT PLUS,68,60 - 79,Male
JOHANNES GERT ELIAS DUVENAGE,National,VRYHEIDSFRONT PLUS,65,60 - 79,Male
MAGRIETHA JOHANNA SNYMAN,National,VRYHEIDSFRONT PLUS,68,60 - 79,Female
JOHANNES THEODORUS POTGIETER,National,VRYHEIDSFRONT PLUS,67,60 - 79,Male
WILLEM PETRUS BOSHOFF,National,VRYHEIDSFRONT PLUS,64,60 - 79,Male
HANNO ALBERT DEN BOER,National,VRYHEIDSFRONT PLUS,31,less than 39,Male
AMANDA KLEINHANS,National,VRYHEIDSFRONT PLUS,42,39 - 59,Female
TERTIA NICOLETTE MATTHEE,National,VRYHEIDSFRONT PLUS,40,39 - 59,Female
HENDRIK JOHANNES JACOB COETZEE,National,VRYHEIDSFRONT PLUS,51,39 - 59,Male
ERNST LODEWIKUS MARAIS BOTES,National,VRYHEIDSFRONT PLUS,70,60 - 79,Male
BRENT JAN ALBERT COETZEE,National,VRYHEIDSFRONT PLUS,37,less than 39,Male
SAREL FREDERICK BOTES,National,VRYHEIDSFRONT PLUS,80,80 and over,Male
DAVID STEWART,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
FREDERIKA ROETS ROSSOUW,National,VRYHEIDSFRONT PLUS,49,39 - 59,Female
MARIA JACOMINA CATHARINA KRUGER,National,VRYHEIDSFRONT PLUS,59,39 - 59,Female
DIRK JOHANNES VAN TONDER,National,VRYHEIDSFRONT PLUS,75,60 - 79,Male
MARIE ELIZABETH NELL,National,VRYHEIDSFRONT PLUS,59,39 - 59,Female
STEPHAN HARLEY,National,VRYHEIDSFRONT PLUS,61,60 - 79,Male
ANNEMIE JONKER,National,VRYHEIDSFRONT PLUS,43,39 - 59,Female
PIETER DANIEL JACOBS,National,VRYHEIDSFRONT PLUS,68,60 - 79,Male
WILLEM ADRIAAN VAN DYK,National,VRYHEIDSFRONT PLUS,66,60 - 79,Male
DIEDERIK JOHANNES DAVEL,National,VRYHEIDSFRONT PLUS,56,39 - 59,Male
CECIL DE VILLIERS,National,VRYHEIDSFRONT PLUS,71,60 - 79,Male
THEUNETTE SNYMAN,National,VRYHEIDSFRONT PLUS,53,39 - 59,Female
PHILLIPPUS PETRUS VAN DER MERWE,National,VRYHEIDSFRONT PLUS,60,60 - 79,Male
JACOBUS HERCULES VAN NIEKERK,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
PETRUS JOHANNES VAN NIEKERK,National,VRYHEIDSFRONT PLUS,53,39 - 59,Male
JOHAN SNYMAN,National,VRYHEIDSFRONT PLUS,56,39 - 59,Male
JOHAN BOTES,National,VRYHEIDSFRONT PLUS,39,39 - 59,Male
DANIEL JACOBUS BRINK,National,VRYHEIDSFRONT PLUS,77,60 - 79,Male
MARTHINUS WESSEL PRETORIUS,National,VRYHEIDSFRONT PLUS,39,39 - 59,Male
GERRIT NOLTE,National,VRYHEIDSFRONT PLUS,61,60 - 79,Male
MARIUS SMUTS,National,VRYHEIDSFRONT PLUS,41,39 - 59,Male
ROELINE VENTER,National,VRYHEIDSFRONT PLUS,21,less than 39,Female
FLORIS PETRUS DAFEL,National,VRYHEIDSFRONT PLUS,65,60 - 79,Male
ELIZABETH CATHARINA WAHL,National,VRYHEIDSFRONT PLUS,56,39 - 59,Female
ALAN ERIC CAWOOD,National,VRYHEIDSFRONT PLUS,34,less than 39,Male
HENDRIK GERHARDUS VAN DER LINDE,National,VRYHEIDSFRONT PLUS,46,39 - 59,Male
CHARL EDUARD HERTZOG,National,VRYHEIDSFRONT PLUS,62,60 - 79,Male
DAVID ROUX TRUTER,National,VRYHEIDSFRONT PLUS,52,39 - 59,Male
DOROTHEA COROLINA DEKKER,National,VRYHEIDSFRONT PLUS,65,60 - 79,Female
FRANCO CAREL DE LANGE,National,VRYHEIDSFRONT PLUS,33,less than 39,Male
PETRUS WILHELMUS SMITH,National,VRYHEIDSFRONT PLUS,54,39 - 59,Male
MARTINUS HERMANUS JANSEN,National,VRYHEIDSFRONT PLUS,66,60 - 79,Male
WILLIAM FREDERICK EYRE,National,VRYHEIDSFRONT PLUS,60,60 - 79,Male
WILLEM KORNELIUS ROSSOUW,National,VRYHEIDSFRONT PLUS,52,39 - 59,Male
JAN WILLEM VAN DER WESTHUIZEN,National,VRYHEIDSFRONT PLUS,64,60 - 79,Male
GIDEON RUDOLPH DE VRIES,National,VRYHEIDSFRONT PLUS,48,39 - 59,Male
VICTOR HUGO SMIT,National,VRYHEIDSFRONT PLUS,55,39 - 59,Male
FRANCOIS ALWYN SCHEEPERS,National,VRYHEIDSFRONT PLUS,51,39 - 59,Male
JACOB PIETER VAN DEN BERG,National,VRYHEIDSFRONT PLUS,72,60 - 79,Male
JOHANN FRIEDRICH WEBER,National,VRYHEIDSFRONT PLUS,25,less than 39,Male
BENJAMIN CHRISTIAAN SCHOONWINKEL,National,VRYHEIDSFRONT PLUS,24,less than 39,Male
JOHANNES URBANUS VAN DER WALT,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
REYNIER JOHANNES ROSSOUW,National,VRYHEIDSFRONT PLUS,30,less than 39,Male
DIEDERIK FRANCOIS KRUGER,National,VRYHEIDSFRONT PLUS,63,60 - 79,Male
CORNELIUS CASPARUS MEYER,National,VRYHEIDSFRONT PLUS,71,60 - 79,Male
JOHANN JORDAAN,National,VRYHEIDSFRONT PLUS,46,39 - 59,Male
CORNELIA ELIZABETH VAN DER LINDE,National,VRYHEIDSFRONT PLUS,42,39 - 59,Female
FLORENCE ETHEL LONGLAND,National,VRYHEIDSFRONT PLUS,55,39 - 59,Female
GUILLAUME FRANCOIS NEL,National,VRYHEIDSFRONT PLUS,78,60 - 79,Male
JACQUELINE CALITZ,National,VRYHEIDSFRONT PLUS,39,39 - 59,Female
CHRISTOFFEL JOHANNES VILJOEN,National,VRYHEIDSFRONT PLUS,58,39 - 59,Male
NEIL COLBORNE,National,VRYHEIDSFRONT PLUS,37,less than 39,Male
PAUL ROUX WENTZEL,National,VRYHEIDSFRONT PLUS,63,60 - 79,Male
LOWINA CHRISTINA MATTHEUS,National,VRYHEIDSFRONT PLUS,65,60 - 79,Female
MARTIN GIDEON RAUTENBACH,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
ARTHUR LLEWELLYN ISTED NAUDÉ,National,VRYHEIDSFRONT PLUS,66,60 - 79,Male
PETRUS JACOBUS ARNOLDUS VAN DER MERWE,National,VRYHEIDSFRONT PLUS,64,60 - 79,Male
FRANCIS JOHANNES ROBBETZE,National,VRYHEIDSFRONT PLUS,57,39 - 59,Male
RUDI VENTER,National,VRYHEIDSFRONT PLUS,55,39 - 59,Male
GERHARD LOTZ,National,VRYHEIDSFRONT PLUS,47,39 - 59,Male
JOHN PATRICK STRINGER,National,VRYHEIDSFRONT PLUS,62,60 - 79,Male
VICTOR WILHELM CHRISTIAN MÖHLE,National,VRYHEIDSFRONT PLUS,69,60 - 79,Male
CHRISTIAAN TOERIEN,National,VRYHEIDSFRONT PLUS,33,less than 39,Male
LUKAS CORNELIUS VAN DER MERWE,National,VRYHEIDSFRONT PLUS,49,39 - 59,Male
JOHANNES VENTER,National,VRYHEIDSFRONT PLUS,75,60 - 79,Male
MARIO QUENTIN SWANEPOEL,National,VRYHEIDSFRONT PLUS,26,less than 39,Male
ROY MATTHEE,National,VRYHEIDSFRONT PLUS,41,39 - 59,Male
PIETER JACOBUS LONGLAND,National,VRYHEIDSFRONT PLUS,53,39 - 59,Male
JACOBA FRANCINA VAN DER MERWE,National,VRYHEIDSFRONT PLUS,61,60 - 79,Female
MORNÉ VAN DER MERWE,National,VRYHEIDSFRONT PLUS,28,less than 39,Male
CORNELIUS JOHANNES VENTER,National,VRYHEIDSFRONT PLUS,68,60 - 79,Male
JOHANNES JURGENS KLEINHANS,National,VRYHEIDSFRONT PLUS,43,39 - 59,Male
JAN HENDRIK JACOBUS VAN DEN BERGH,National,VRYHEIDSFRONT PLUS,59,39 - 59,Male
FRANCOIS KRUGER,National,VRYHEIDSFRONT PLUS,33,less than 39,Male
HENDRIENA MAGARETHA VAN DER MERWE,National,VRYHEIDSFRONT PLUS,62,60 - 79,Female
JOHANNES VREUGDENBURG,National,VRYHEIDSFRONT PLUS,73,60 - 79,Male
STEPHANUS TERBLANCHE,National,VRYHEIDSFRONT PLUS,50,39 - 59,Male
JOHANNES KOENRAAD LOUW,National,VRYHEIDSFRONT PLUS,34,less than 39,Male
LINDIWE NANA NGOBESE,National,WOMEN FORWARD,48,39 - 59,Female
SARAH EDITH RUSSELL COLLINS,National,WOMEN FORWARD,40,39 - 59,Female
TSHIFHIWA CONSTANCE NANGAMMBI,National,WOMEN FORWARD,30,less than 39,Female
SIBONGILE ISABEL SHEZI,National,WOMEN FORWARD,46,39 - 59,Female
EDZISANI REGUEL MULAUDZI,National,WOMEN FORWARD,43,39 - 59,Male
RUDZANI EMELY MADZAGADZAGA,National,WOMEN FORWARD,32,less than 39,Female
JEANETTE THABISENG RADEBE,National,WOMEN FORWARD,39,39 - 59,Female
