person,province,party,age,gender
ARTHUR LLEWELLYN ISTED NAUDÉ,NORTHERN CAPE,VRYHEIDSFRONT PLUS,40 - 49,Male
JOHANNES GERHARDUS STANDER,NORTHERN CAPE,VRYHEIDSFRONT PLUS,40 - 49,Male
JOHANNES URBANUS VAN DER WALT,NORTHERN CAPE,VRYHEIDSFRONT PLUS,50 - 59,Male
WILLEM JACOBUS SNYMAN,LIMPOPO,VRYHEIDSFRONT PLUS,30 - 39,Male
LOUIS GUSTAVUS TRICHARDT,LIMPOPO,VRYHEIDSFRONT PLUS,30 - 39,Male
MATTHEUS JOHANNES WILLEMSE,LIMPOPO,VRYHEIDSFRONT PLUS,40 - 49,Male
JOHANNES GERT HEYMAN,LIMPOPO,VRYHEIDSFRONT PLUS,40 - 49,Male
LIZA NEL,LIMPOPO,VRYHEIDSFRONT PLUS,60 and over,Female
JOHANNES VREUGDENBURG,LIMPOPO,VRYHEIDSFRONT PLUS,30 - 39,Male
CHRISTIAAN TOERIEN,LIMPOPO,VRYHEIDSFRONT PLUS,60 and over,Male
MAGRIETHA JOHANNA SNYMAN,LIMPOPO,VRYHEIDSFRONT PLUS,40 - 49,Female
PIETER JACOBUS LONGLAND,LIMPOPO,VRYHEIDSFRONT PLUS,50 - 59,Male
FLORENCE ETHEL LONGLAND,LIMPOPO,VRYHEIDSFRONT PLUS,50 - 59,Female
PETRUS JOHANNES GROENEWALD,NORTH WEST,VRYHEIDSFRONT PLUS,50 - 59,Male
ANDREW GERBER,NORTH WEST,VRYHEIDSFRONT PLUS,40 - 49,Male
JOHANNES FRANCOIS SCHUTTE,NORTH WEST,VRYHEIDSFRONT PLUS,40 - 49,Male
RYKHAARD VAN JAARSVELD,NORTH WEST,VRYHEIDSFRONT PLUS,40 - 49,Male
SAREL FREDERICK BOTES,NORTH WEST,VRYHEIDSFRONT PLUS,less than 30,Male
JOHANNES GEYSBERTUS ROOS BORNMAN,NORTH WEST,VRYHEIDSFRONT PLUS,40 - 49,Male
IGNATIUS MICHAEL GROENEWALD,NORTH WEST,VRYHEIDSFRONT PLUS,60 and over,Male
REYNIER JOHANNES ROSSOUW,NORTH WEST,VRYHEIDSFRONT PLUS,60 and over,Male
JOHANN CHRISTIAAN BOSHOFF,NORTH WEST,VRYHEIDSFRONT PLUS,50 - 59,Male
PAUL ROUX WENTZEL,NORTH WEST,VRYHEIDSFRONT PLUS,40 - 49,Male
CORNELIUS PETRUS MULDER,WESTERN CAPE,VRYHEIDSFRONT PLUS,50 - 59,Male
JACOB DIEDERIK SMIT,WESTERN CAPE,VRYHEIDSFRONT PLUS,40 - 49,Male
RONALD BRAND,WESTERN CAPE,VRYHEIDSFRONT PLUS,50 - 59,Male
HENDRIK GERHARDUS PISTORIUS,WESTERN CAPE,VRYHEIDSFRONT PLUS,50 - 59,Male
RUDI VENTER,WESTERN CAPE,VRYHEIDSFRONT PLUS,50 - 59,Male
MORNÉ VAN DER MERWE,WESTERN CAPE,VRYHEIDSFRONT PLUS,60 and over,Male
JOHANNES VENTER,WESTERN CAPE,VRYHEIDSFRONT PLUS,30 - 39,Male
SARAH EDITH RUSSELL COLLINS,GAUTENG,WOMEN FORWARD,60 and over,Female
EDZISANI REGUEL MULAUDZI,GAUTENG,WOMEN FORWARD,60 and over,Male
JEANETTE THABISENG RADEBE,GAUTENG,WOMEN FORWARD,60 and over,Female
LINDIWE NANA NGOBESE,KWAZULU-NATAL,WOMEN FORWARD,60 and over,Female
SIBONGILE ISABEL SHEZI,KWAZULU-NATAL,WOMEN FORWARD,60 and over,Female
TSHIFHIWA CONSTANCE NANGAMMBI,LIMPOPO,WOMEN FORWARD,60 and over,Female
RUDZANI EMELY MADZAGADZAGA,LIMPOPO,WOMEN FORWARD,60 and over,Female
ANTHONY PENDERIS,National,A PARTY,50 - 59,Male
JEREMIAH KEKANA,National,A PARTY,60 and over,Male
THEMBINKOSI MASINGA,National,A PARTY,60 and over,Male
MARIA LOUISA CARTER,National,A PARTY,40 - 49,Female
MZWANELE ZULU,National,A PARTY,60 and over,Male
TSHIFHIWA SAMUEL MAKHALE,National,A PARTY,50 - 59,Male
GERT PETRUS ALBERTUS BOOYSEN,National,A PARTY,50 - 59,Male
SHARON PATRICIA PENDERIS,National,A PARTY,50 - 59,Female
EMILE LOUW JOUBERT,National,A PARTY,60 and over,Male
ALMA DU PLESSIS,National,A PARTY,60 and over,Female
NAOMI HENRIETTA MALGAS,National,A PARTY,60 and over,Female
MASILONYONE PAULUS PAKATITA,National,A PARTY,40 - 49,Male
BAWINILE WINNIE CHAVUMA,National,A PARTY,60 and over,Female
ALEYMARIA MALEFU MAQENA-POTSANE,National,A PARTY,50 - 59,Female
WILLIAM MBAZIMA MAPALWENI,National,A PARTY,60 and over,Male
LYDIA MOKOENA,National,A PARTY,60 and over,Female
MAPITLE SAMUEL MHLANGA,National,A PARTY,50 - 59,Male
MANONI MONYAI,National,A PARTY,40 - 49,Female
BETTY SELLO,National,A PARTY,30 - 39,Female
AGNES CHAUKE,National,A PARTY,60 and over,Female
TSHIMANGADZO ISAAC MAKHALE,National,A PARTY,60 and over,Male
LESIBA TIGH LEBELO,National,A PARTY,60 and over,Male
STANLEY VAN DER BERG,National,A PARTY,50 - 59,Male
ROSELINE NKOSI,National,A PARTY,40 - 49,Female
MARGARET ANN MCGREGOR GIARDINI,National,A PARTY,50 - 59,Female
MUDZUNGA MULALO MAFADZA,National,A PARTY,60 and over,Female
TSHILIDZI GRACE KHARIBE,National,A PARTY,60 and over,Female
MASHUDU SYLVIA MADZUHE,National,A PARTY,60 and over,Female
AZWINNDINI PATRICK NEVHUFUMBA,National,A PARTY,60 and over,Male
AVHAPFANI STANLEY RATSHILUMELA,National,A PARTY,60 and over,Male
SIMPHIWE KAGISO XOLANI SEGAETSHO,National,A PARTY,60 and over,Male
NIMROD MAZIZI FIGLAN,National,A PARTY,60 and over,Male
AVHASEI DORAH MUNZHELELE,National,A PARTY,60 and over,Female
THANYANI TSHIVHASE,National,A PARTY,60 and over,Female
MLUNGISI DANIEL TSEDU,National,A PARTY,50 - 59,Male
CHARLES WINSTON BOYLES,National,A PARTY,60 and over,Male
LAWSON DOUGLAS CRAVEN,National,A PARTY,50 - 59,Male
THERESA ANN BOYLES,National,A PARTY,50 - 59,Female
SIDNEY MNCEDISI MBALO,National,A PARTY,60 and over,Male
LUTANDO NDABAMBI,National,A PARTY,60 and over,Male
NOMPUMELELO POTWANA,National,A PARTY,60 and over,Female
GLORY MUTUVHIWA MADZUHE,National,A PARTY,60 and over,Female
MUOFHE JEANETH MUKWEVHO,National,A PARTY,60 and over,Female
AZWIHANGWISI MARCIA NEMARANZHE,National,A PARTY,60 and over,Female
MAANDA MICHAEL MATHOHO,National,A PARTY,60 and over,Male
CLIFFORD ADVICE MKHONTO,National,A PARTY,60 and over,Male
NTHAMBELENI MAVIS MAKHWATHANI,National,A PARTY,50 - 59,Female
BETTY RANDIMA,National,A PARTY,60 and over,Female
RUDZANI GOGORO,National,A PARTY,60 and over,Female
LIVHUWANI JEREMIAH MUKWEVHO,National,A PARTY,60 and over,Male
AVHASHONI JEFFREY MAKHWATHANE,National,A PARTY,60 and over,Male
AZWIHANGWISI GLADYS RATSHILUMELA,National,A PARTY,50 - 59,Female
MAKONDELELE KENNETH THEMELI,National,A PARTY,60 and over,Male
NDILENI EDWIN RATSHILUMELA,National,A PARTY,50 - 59,Male
NKHUMELELNI AGNES MUDUBU,National,A PARTY,60 and over,Female
TSHILILO GEORGE RAMMETHELI,National,A PARTY,50 - 59,Male
THEMELI JOHN SINGO,National,A PARTY,50 - 59,Male
KANAKANA SALPHINA NEMARANZHE,National,A PARTY,60 and over,Female
MMBOSWOBENI SALTHIEL MATAMELA,National,A PARTY,60 and over,Male
KENNETH RASELABE JOSEPH MESHOE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Male
RENEN VAN NIEKERK,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Male
BUSISIWE HELEN BALOYI,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Female
CHARLES MATSOBANE GOLOLO,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Male
TANKISO JOHANNES VILAKAZI,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
DAVID LLEWELLYN FRITZ,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
MMATSHOENE SOLOMON MABOYA,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
MOLATLHEGI REUBEN SENOKWANE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
SELLO PETRUS LEFINE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
MARIAH LEMPE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
CHARL FRANCOIS VAN WYK,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,40 - 49,Male
TILA ELIZABETH MAGANYANE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,50 - 59,Female
PHUTI PIET CHOSHI,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
BAITSENG LILLIAN NTEMBE,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
GWENDOLINE ROCHELLE NEL,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
RAYMOND XAZANA,National,AFRICAN CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
JACOB GEDLEYIHLEKISA ZUMA,National,AFRICAN NATIONAL CONGRESS,40 - 49,Male
NOZIZWE CHARLOTTE ROUTLEDGE,National,AFRICAN NATIONAL CONGRESS,50 - 59,Female
ENOCH GODONGWANA,National,AFRICAN NATIONAL CONGRESS,50 - 59,Male
SUSAN COMBER VAN DER MERWE,National,AFRICAN NATIONAL CONGRESS,50 - 59,Female
MATHUME JOSEPH PHAAHLA,National,AFRICAN NATIONAL CONGRESS,50 - 59,Male
MILDRED NELISIWE OLIPHANT,National,AFRICAN NATIONAL CONGRESS,50 - 59,Female
THEMBELANI WALTERMADE NXESI,National,AFRICAN NATIONAL CONGRESS,50 - 59,Male
MMAMOLOKO TRYPHOSA KUBAYI,National,AFRICAN NATIONAL CONGRESS,60 and over,Female
SIVAPRAGAS MARIMUTHU PILLAY,National,AFRICAN NATIONAL CONGRESS,50 - 59,Male
GERTROEDH SAAL,National,AFRICAN NATIONAL CONGRESS,60 and over,Female
SIYABONGA CYPRIAN CWELE,National,AFRICAN NATIONAL CONGRESS,50 - 59,Male
ALEXIA ZINTLE NDLAZI,National,AFRICAN NATIONAL CONGRESS,50 - 59,Female
FEZILE BHENGU,National,AFRICAN NATIONAL CONGRESS,50 - 59,Male
LINDIWE CHRISTABOLA BEBEE,National,AFRICAN NATIONAL CONGRESS,50 - 59,Female
SABHINA ALETTA MANZINI,National,AFRICAN NATIONAL CONGRESS,60 and over,Female
JOEL MBHAZIMA SIBIYA,National,AFRICAN NATIONAL CONGRESS,50 - 59,Male
NELSON THEMBA GODI,National,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
MOLOKO MICHAEL MPOLOBOSHO,National,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
LUCKY HENDRICK DLAMINI,National,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
MUDADZHO WILLIE TSHIDADA,National,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
TANDUXOLO MBASA,National,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
SIYABULELA MATEZA,National,AFRICAN PEOPLE'S CONVENTION,60 and over,Male
BONISIWE PRISCAH SIKHAKHANE,National,AFRICAN PEOPLE'S CONVENTION,60 and over,Female
MAMPSHE JACKSON SEKATIKE,National,AFRICAN PEOPLE'S CONVENTION,50 - 59,Male
MOGAMAD GANIEF EBRAHIM HENDRICKS,National,AL JAMA-AH,40 - 49,Male
ABDUL GAMIET FLACKS,National,AL JAMA-AH,40 - 49,Male
ABDURAGIEM ABDEROEF,National,AL JAMA-AH,50 - 59,Male
MOGAMAT BEDFORD,National,AL JAMA-AH,30 - 39,Male
ABDUL KARRIEM BEDFORD,National,AL JAMA-AH,60 and over,Male
BIENIEYAMIEN ALEXANDER,National,AL JAMA-AH,40 - 49,Male
SULAIMAN ADAMS,National,AL JAMA-AH,40 - 49,Male
FIONA KHAN,National,AL JAMA-AH,60 and over,Female
RADIFAI ENOS MODISANE,National,AL JAMA-AH,50 - 59,Male
THEMBA JOSEPH SONO,National,ALLIANCE OF FREE DEMOCRATS,40 - 49,Male
MOSIBUDI AARON MANGENA,National,AZANIAN PEOPLE'S ORGANISATION,40 - 49,Male
WINSOME NEFOLOVHODWE,National,AZANIAN PEOPLE'S ORGANISATION,60 and over,Female
MONELO GEORGE BONGO,National,AZANIAN PEOPLE'S ORGANISATION,40 - 49,Male
RONALD MTHUTHUZELI MAKHASI,National,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
KENALEMANG ANNA MOTHOBI,National,AZANIAN PEOPLE'S ORGANISATION,60 and over,Female
PITSI MATHEWS MALOBA,National,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
ZANEWONGA MOSES BEDENI,National,AZANIAN PEOPLE'S ORGANISATION,60 and over,Male
CHUENE EDWARD MASHALANE,National,AZANIAN PEOPLE'S ORGANISATION,40 - 49,Male
CLEMENTINE MAKHOSAZANA SITHOLE,National,AZANIAN PEOPLE'S ORGANISATION,60 and over,Female
VIRGINIA CONSTANCE ZIBUYILE KHUMALO,National,AZANIAN PEOPLE'S ORGANISATION,40 - 49,Female
KEVIN GRAHAM SOUTHGATE,National,CHRISTIAN DEMOCRATIC ALLIANCE,50 - 59,Male
CHARLES CECIL JACOBS,National,CHRISTIAN DEMOCRATIC ALLIANCE,40 - 49,Male
STANLEY LE FLEUR,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Male
CLIVE SAMUELS,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Male
RUNESIA ANTHEA HENDRICKS,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
CHRISTY MARTIN JACOBS,National,CHRISTIAN DEMOCRATIC ALLIANCE,50 - 59,Male
JACO DIEDERIKS,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Male
MORGAN STANFORD DENNISON,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Male
NOMVELO MNCINITO,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
GRANVILLE FRANKLIN SMITH,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Male
JANINE BRINTON,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
AVERIL MARY RESNEKOV,National,CHRISTIAN DEMOCRATIC ALLIANCE,60 and over,Female
GERT JOHANNES VAN NIEKERK,National,CHRISTIAN DEMOCRATIC ALLIANCE,less than 30,Male
HAMILTON MVUMELWANO DANDALA,National,CONGRESS OF THE PEOPLE,50 - 59,Male
LEKOBA JACK TOLO,National,CONGRESS OF THE PEOPLE,40 - 49,Male
PATRICIA SIKHWIVHILU,National,CONGRESS OF THE PEOPLE,60 and over,Female
PETRUS JACOBUS MARAIS,National,CONGRESS OF THE PEOPLE,40 - 49,Male
LIEVIE KEAN SHARPLEY,National,CONGRESS OF THE PEOPLE,40 - 49,Male
SHIRLEY MMATONKO MALAKANE,National,CONGRESS OF THE PEOPLE,50 - 59,Female
WAYNE ANDRE POSTHUMUS,National,CONGRESS OF THE PEOPLE,50 - 59,Male
MZWANDILE NELSON BULA,National,CONGRESS OF THE PEOPLE,50 - 59,Male
HLENGIWE OCTAVIA MAXON,National,CONGRESS OF THE PEOPLE,60 and over,Female
DINTOE PETRUS TAUNYANE,National,CONGRESS OF THE PEOPLE,50 - 59,Male
JOSHUA JAY MAISTRY,National,CONGRESS OF THE PEOPLE,60 and over,Male
MPHALELWA SHADRACK MOKHABUKHI,National,CONGRESS OF THE PEOPLE,60 and over,Male
THELMA FIKILE PHOKOANE,National,CONGRESS OF THE PEOPLE,60 and over,Female
MASEFATSA BERNICE SEADE,National,CONGRESS OF THE PEOPLE,60 and over,Female
GEORGE MZWAKHEFANA SITHOLE,National,CONGRESS OF THE PEOPLE,40 - 49,Male
TEBI DAVID KHOABANE,National,CONGRESS OF THE PEOPLE,60 and over,Male
VINESH BHARATH CHUTURGOON,National,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Male
MOTLALEPULE FRANCINAH SHOMANG,National,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Female
DIANNE GANESS,National,GREAT KONGRESS OF SOUTH AFRICA,60 and over,Female
PATRICIA DE LILLE,National,INDEPENDENT DEMOCRATS,50 - 59,Female
SOLANI PHANUEL GUDLHUZA,National,INDEPENDENT DEMOCRATS,50 - 59,Male
URSULA CORNELIA SWARTZ-NIEUWOUDT,National,INDEPENDENT DEMOCRATS,50 - 59,Female
AUBREY CLIVE SEDEMAN,National,INDEPENDENT DEMOCRATS,50 - 59,Male
NONTSIZI EUGINIA PLAATJIE,National,INDEPENDENT DEMOCRATS,60 and over,Female
KAGISO NORMAN GAOBOSIWE,National,INDEPENDENT DEMOCRATS,60 and over,Male
UNITY CHARITY MASHIGO,National,INDEPENDENT DEMOCRATS,60 and over,Female
JAYANTH SUKRAJ,National,INDEPENDENT DEMOCRATS,60 and over,Male
UNUS JOOSUB,National,INDEPENDENT DEMOCRATS,40 - 49,Male
ANNACLETA MAMPOLAI MOKGELEDI,National,INDEPENDENT DEMOCRATS,60 and over,Female
RAPHEAL RALPH VAN DEN HEEVER,National,INDEPENDENT DEMOCRATS,60 and over,Male
NTESENG ATHELIA MAKOFANE,National,INDEPENDENT DEMOCRATS,60 and over,Female
AZWINNDINI MERIAM MUSHANEKI,National,INDEPENDENT DEMOCRATS,50 - 59,Female
ABDURAGIEM STERRIS,National,INDEPENDENT DEMOCRATS,50 - 59,Male
MUKHETHONI DANIEL MATSA,National,INDEPENDENT DEMOCRATS,60 and over,Male
BOIKHUTSO MARCUS RAKATANE,National,INDEPENDENT DEMOCRATS,60 and over,Male
MANGOSUTHU GATSHA BUTHELEZI,National,INKATHA FREEDOM PARTY,less than 30,Male
CHRISTIAN THEMBA MSIMANG,National,INKATHA FREEDOM PARTY,40 - 49,Male
MOLEEANE BEN SKOSANA,National,INKATHA FREEDOM PARTY,40 - 49,Male
MANGAQA ALBERT MNCWANGO,National,INKATHA FREEDOM PARTY,50 - 59,Male
MARIO GASPARE ORIANI-AMBROSINI,National,INKATHA FREEDOM PARTY,60 and over,Male
SEENG PATRICIA NTANZI,National,INKATHA FREEDOM PARTY,60 and over,Female
CONSTANCE NTOMBIKAYISE ZIKALALA,National,INKATHA FREEDOM PARTY,30 - 39,Female
NONGOLOZA AMOS MASINA,National,INKATHA FREEDOM PARTY,40 - 49,Male
GCOBANI KALA,National,INKATHA FREEDOM PARTY,60 and over,Male
SIKA LUCAS MOLOI,National,INKATHA FREEDOM PARTY,60 and over,Male
SYBIL ANNE SEATON,National,INKATHA FREEDOM PARTY,40 - 49,Female
RUTH RABINOWITZ,National,INKATHA FREEDOM PARTY,40 - 49,Female
MDUDUZI ENOCK MASONDO,National,INKATHA FREEDOM PARTY,50 - 59,Male
PHILANI JABULANI BUTHELEZI,National,INKATHA FREEDOM PARTY,60 and over,Male
SIBUSISO LUCKY GUMBI,National,INKATHA FREEDOM PARTY,50 - 59,Male
MSHIYENI FRED MBELE,National,INKATHA FREEDOM PARTY,30 - 39,Male
MARIA TSHABALALA,National,INKATHA FREEDOM PARTY,60 and over,Female
MZONJANI MAXWELL SITHOLE,National,INKATHA FREEDOM PARTY,60 and over,Male
MONDLI SIYABONGA JELE,National,INKATHA FREEDOM PARTY,60 and over,Male
SIPHO ALPHEUS HADEBE,National,INKATHA FREEDOM PARTY,60 and over,Male
BHEKAMINA SAMUEL GUMBI,National,INKATHA FREEDOM PARTY,60 and over,Male
MALETSEMA PAULINA SITHOLE,National,INKATHA FREEDOM PARTY,60 and over,Female
MSHIYELENI WILSON NDWANDWE,National,INKATHA FREEDOM PARTY,60 and over,Male
MSOLINI MUSAWENKOSI ZUBANE,National,INKATHA FREEDOM PARTY,40 - 49,Male
MABALANA WILLIAS SIBUYANA,National,INKATHA FREEDOM PARTY,30 - 39,Male
BONGANI LEONARD MWELI,National,INKATHA FREEDOM PARTY,60 and over,Male
ZITHA PIET BUTHELEZI,National,INKATHA FREEDOM PARTY,60 and over,Male
AMICHAND RAJBANSI,National,MINORITY FRONT,40 - 49,Male
ROYITH BALOO BHOOLA,National,MINORITY FRONT,60 and over,Male
SHAMEEN THAKUR-RAJBANSI,National,MINORITY FRONT,60 and over,Female
PATRICK PILLAY,National,MINORITY FRONT,60 and over,Male
ISMAIL CASSIMJEE,National,MINORITY FRONT,60 and over,Male
AISHWAIN GOPAUL NAIR,National,MINORITY FRONT,60 and over,Male
VIMMI RAMDAAS BACHU,National,MINORITY FRONT,60 and over,Female
PRAGASAN PADAYACHEE,National,MINORITY FRONT,60 and over,Male
BANPARKASH GIRDHARI,National,MINORITY FRONT,40 - 49,Male
ZANELE LADYFAIR GUMEDE,National,MINORITY FRONT,60 and over,Female
SENPRABHA STEFANIDIS,National,MINORITY FRONT,40 - 49,Female
KUMARI PADAYACHEE,National,MINORITY FRONT,60 and over,Female
ANITHA RAMFOL,National,MINORITY FRONT,50 - 59,Female
ANSUYAHDEVI MOODLEY,National,MINORITY FRONT,60 and over,Female
